Customer_ID,Customer_Name,Gender,Age,State,City,Bank_Branch,Account_Type,Transaction_ID,Transaction_Date,Transaction_Time,Transaction_Amount,Merchant_ID,Transaction_Type,Merchant_Category,Account_Balance,Transaction_Device,Transaction_Location,Device_Type,Transaction_Currency,Customer_Contact,Transaction_Description,Customer_Email
d56303bd-a099-4650-bfcb-61d047b74e13,pii_full_name_6d4603db87b0,Male,59,Maharashtra,Mumbai,Mumbai Branch,Business,dc1eac53-f887-4057-9dfc-e24bfbd346fe,25-08-2025,05:20:24,6.36,d68de9df-d956-41be-b540-58d8f2e73a03,Bill Payment,Digital Services,24444.05,nan,"Mumbai, Maharashtra",Mobile,nan,nan,Online purchase,pii_email_a41f5a907a18
d56303bd-a099-4650-bfcb-61d047b74e13,pii_full_name_6d4603db87b0,Male,59,Maharashtra,Mumbai,Mumbai Branch,Business,966d7be3-ef72-4865-aad4-7a4fd23478a9,25-08-2025,05:23:06,112236.14,9e9d886e-df8c-4a6d-beb2-e7b7692a50b1,Bill Payment,Unknown Merchant,0.0,nan,"Mumbai, Maharashtra",Mobile,nan,nan,Online service,pii_email_a41f5a907a18
f0134403-c429-46d0-b97e-b8184f977def,pii_full_name_3e9e184f48e7,Male,49,Tamil Nadu,Chennai,Gaya Branch,Checking,6b434e16-4608-4e12-a1f3-f4a1058ff337,01-07-2025,01:07:00,1.23,e6b49c94-b824-4cdd-b80e-b19e8d79e290,Debit,Entertainment,26977.04,Unknown Mobile Device,"Chennai, Tamil Nadu",Mobile,INR,+91969735XXXXXX,Test Transaction,pii_email_c0458ea6c4d1
63f582f6-e008-4153-8f65-3cb69bddbd3a,pii_full_name_46df687c5a92,Male,30,Uttar Pradesh,Kanpur,Kanpur Branch,Business,3f994bd8-2b94-4db7-843c-5cf4e609294f,20-10-2025,03:05:29,64408.97,0b3e2c24-4493-447d-9234-17545746aa78,Debit,Unknown Merchant,0.0,nan,"Kanpur, Uttar Pradesh",Desktop,nan,nan,Digital goods,pii_email_a1244b5bf1b4
acd67636-1b94-4bc4-8df4-49dd025042d3,pii_full_name_9c9d6c61fd77,Male,70,West Bengal,Siliguri,Siliguri Branch,Checking,4bca329f-15b4-4bf7-a447-7e10b2398dd6,18-04-2025,07:06:33,81908.75,54254be5-9240-4087-a129-bc94c8cc1112,Debit,Restaurant,79155.6,Biometric ATM,"Siliguri, West Bengal",Desktop,INR,+91954078XXXXXX,Mobile recharge,pii_email_563c28ae9582
3d77c6b1-3470-48ea-ba12-16261613a693,pii_full_name_dd999504b798,Female,18,Punjab,Amritsar,Amritsar Branch,Savings,5921e9c4-dec3-43c0-9d1b-436c6ac4d792,10-10-2025,22:36:31,98999.99,48fb466f-217d-4658-a8a7-3de6b490c150,Withdrawal,Restaurant,12300.85,Contactless Card,"Amritsar, Punjab",Mobile,INR,+91963682XXXXXX,Train ticket,pii_email_2e23a822009c
ca2e2ed1-37f7-4a14-af40-bd9367c080b8,pii_full_name_8fc209214514,Female,50,Kerala,Thiruvananthapuram,Thiruvananthapuram Branch,Checking,505cfbc1-f834-498f-89b7-73ed752e112f,14-08-2025,12:15:53,636.22,36e48dd1-71be-47c9-b972-7cd801093442,Bill Payment,Entertainment,107346.03,Contactless Card,"Thiruvananthapuram, Kerala",Mobile,INR,+91930932XXXXXX,Utility bill,pii_email_91d8463520be
63f582f6-e008-4153-8f65-3cb69bddbd3a,pii_full_name_46df687c5a92,Male,30,Uttar Pradesh,Kanpur,Kanpur Branch,Business,8fa1c720-21d5-4442-a802-df6bb0c21c5f,20-10-2025,02:57:28,9.85,d199c370-5f47-441d-aaef-3f54e2c61a1e,Debit,Digital Services,94540.34,nan,"Kanpur, Uttar Pradesh",Desktop,nan,nan,Online marketplace order,pii_email_a1244b5bf1b4
ca2e2ed1-37f7-4a14-af40-bd9367c080b8,pii_full_name_8fc209214514,Female,50,Kerala,Thiruvananthapuram,Thiruvananthapuram Branch,Checking,43400843-ad8b-4b3e-8240-412c52485462,14-08-2025,12:15:53,429.46,3603e3e6-8ad5-47fe-94af-f72edead1d4e,Credit,Clothing,96627.39,Digital Wallet,"Thiruvananthapuram, Kerala",Mobile,INR,+91930932XXXXXX,Bitcoin transaction,pii_email_91d8463520be
f0134403-c429-46d0-b97e-b8184f977def,pii_full_name_3e9e184f48e7,Male,49,Tamil Nadu,Chennai,Gaya Branch,Checking,e8fb7d8e-0500-40c9-8848-3ce0f8c59bfa,01-07-2025,03:02:00,0.0,feafc506-ccd4-4f41-90c9-46ad3aae226c,Credit,Digital Services,26977.04,Unknown Mobile Device,"Chennai, Tamil Nadu",Mobile,INR,+91969735XXXXXX,Device registration,pii_email_c0458ea6c4d1
